package,date,version,total_dependencies,source
matplotlib,2019-05-06 14:45:04,3.1.0rc2,0,pypi
matplotlib,2019-05-18 18:14:58,3.1.0,0,pypi
matplotlib,2019-07-03 01:42:53,3.1.1,0,pypi
matplotlib,2019-10-25 03:56:33,3.2.0rc1,0,pypi
matplotlib,2019-11-21 22:51:54,3.1.2,0,pypi
matplotlib,2020-02-03 05:57:52,2.2.5,0,pypi
matplotlib,2020-02-03 06:02:25,3.1.3,0,pypi
matplotlib,2020-02-03 06:05:20,3.2.0rc3,0,pypi
matplotlib,2020-03-04 23:27:04,3.2.0,0,pypi
matplotlib,2020-03-18 22:06:38,3.2.1,0,pypi
matplotlib,2020-06-17 19:42:20,3.2.2,0,pypi
matplotlib,2020-06-18 22:11:54,3.3.0rc1,0,pypi
matplotlib,2020-07-17 20:21:18,3.3.0,0,pypi
matplotlib,2020-08-24 22:26:59,3.3.1,0,pypi
matplotlib,2020-09-15 07:11:33,3.3.2,0,pypi
matplotlib,2020-11-12 04:43:18,3.3.3,0,pypi
matplotlib,2021-01-28 08:34:18,3.3.4,0,pypi
matplotlib,2021-02-19 06:41:19,3.4.0rc1,0,pypi
matplotlib,2021-03-11 02:56:46,3.4.0rc2,0,pypi
matplotlib,2021-03-11 05:40:38,3.4.0rc3,0,pypi
matplotlib,2021-03-26 07:50:28,3.4.0,0,pypi
matplotlib,2021-03-31 08:18:26,3.4.1,0,pypi
matplotlib,2021-05-08 05:47:47,3.4.2,0,pypi
matplotlib,2021-08-13 03:23:56,3.4.3,0,pypi
matplotlib,2021-08-24 07:59:49,3.5.0b1,0,pypi
matplotlib,2021-10-02 03:08:30,3.5.0rc1,0,pypi
matplotlib,2021-11-16 07:14:45,3.5.0,0,pypi
matplotlib,2021-12-11 08:22:08,3.5.1,0,pypi
matplotlib,2022-05-03 06:44:48,3.5.2,0,pypi
matplotlib,2022-08-11 06:59:22,3.5.3,0,pypi
matplotlib,2022-08-20 09:18:28,3.6.0rc1,0,pypi
matplotlib,2022-08-27 07:38:00,3.6.0rc2,0,pypi
matplotlib,2022-09-16 04:44:12,3.6.0,0,pypi
matplotlib,2022-10-08 09:44:51,3.6.1,0,pypi
matplotlib,2022-11-03 01:50:29,3.6.2,0,pypi
matplotlib,2023-01-12 02:22:34,3.6.3,0,pypi
matplotlib,2023-01-25 21:22:32,3.7.0rc1,0,pypi
matplotlib,2023-02-13 22:54:18,3.7.0,0,pypi
matplotlib,2023-03-04 07:27:48,3.7.1,0,pypi
matplotlib,2023-07-05 21:01:41,3.7.2,0,pypi
matplotlib,2023-08-10 03:12:45,3.8.0rc1,0,pypi
matplotlib,2023-09-12 03:01:40,3.7.3,11,pypi
matplotlib,2023-09-15 04:49:33,3.8.0,11,pypi
matplotlib,2023-11-01 00:40:00,3.8.1,10,pypi
matplotlib,2023-11-17 21:17:02,3.8.2,10,pypi
matplotlib,2023-11-18 03:45:11,3.7.4,10,pypi
matplotlib,2024-02-15 01:48:12,3.8.3,10,pypi
matplotlib,2024-02-16 10:48:06,3.7.5,10,pypi
matplotlib,2024-04-04 01:47:46,3.8.4,10,pypi
matplotlib,2024-04-09 18:34:26,3.9.0rc2,14,pypi
matplotlib,2024-05-15 23:37:04,3.9.0,14,pypi
matplotlib,2024-07-04 07:15:25,3.9.1,14,pypi
matplotlib,2024-08-06 22:00:11,3.9.1.post1,14,pypi
matplotlib,2024-08-13 01:44:21,3.9.2,14,pypi
matplotlib,2024-11-01 03:44:50,3.10.0rc1,13,pypi
matplotlib,2024-11-30 10:14:04,3.9.3,14,pypi
matplotlib,2024-12-13 05:54:24,3.9.4,14,pypi
matplotlib,2024-12-14 06:30:36,3.10.0,13,pypi
